<pre>
# ---------------------------
  code ; shortcut ; reference
 17.02 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 17.03 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 17.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 17.04 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 18.00 ; AS   ; Anisimove, G.P. and Semenov, R.I., 1974, Opt. Spectr. 36, 130.
 18.00 ; DC   ; Desai, S.V. and Corcoran, W.H. 1968, JQSRT 8, 1721.
 18.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 18.00 ; LI   ; Lilly, R.A. 1976, JOSA 66, 245.
 18.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 18.00 ; WA   ; Woodyard, J.R. and Altick, P.L. 1979, J. Phys. B 7, 2298.
 18.01 ; GO   ; Garstang,R.H, and Odabasi,H. 1971, in "Topics in Modern Physics" (eds. Brittin & Odabasi) Colorado, 361-286.
 18.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
 18.01 ; L    ; Luyken, B.F.W. 1972, Physica 60, 432.
 18.01 ; LG   ; Loginov, A.V. and Gruzdev, P.F. 1978, Opt. Spectr. 44, 500-503.
 18.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Miles, B.M. 1969, NSRDS-NBS 22.
 18.01 ; T    ; Tidwell, E.D. 1972, JQSRT, 12, 431-441.
